Genotype,Range,Plate,Amount_Consumed,Total_Consumed,Con_Ratio,Latitude,Longitude,Population,Pair
St.Augustine_11,Invasive,3,27.91961677,34.97770666,0.798211759,31.61666667,65.71666667,Florida1,5
AlgeriaW65435,Native,5,12.98642219,16.25627366,0.798856027,35.7,2.6,MP-W65435,59
St.Augustine_3,Invasive,3,14.47842467,18.08303834,0.800663273,31.61666667,65.71666667,Florida1,2
SpainW65390,Native,5,31.23592622,38.94027862,0.802149531,28.15,-16.633333,MP-W65390,52
SpainW65390,Native,2,31.60090275,39.16568381,0.806851807,28.15,-16.633333,MP-W65390,10
ChilePI368950,Invasive,5,8.30890027,10.29265662,0.807264886,-31.61,-71.53,MP-PI368950,65
GILNS13_6,Native,1,13.60916154,16.82125019,0.809045784,37.708491,-8.099286,Portugal2,56
ChilePI368950,Invasive,2,24.66023319,30.47901301,0.809088968,-31.61,-71.53,MP-PI368950,66
SpainW65325,Native,3,34.80142529,42.65522858,0.815877126,36.533333,-6.3,MP-W65325,49
CMS12_4,Native,2,30.79473412,37.70577769,0.816711284,38.7,-9.1833,Portugal1,37
PeruPI308523,Invasive,1,22.3803067,27.2782292,0.820445731,-11.25,-74.41,MP-PI308523,72
St.Augustine_14,Invasive,3,27.78004543,33.59615941,0.826881582,31.61666667,65.71666667,Florida1,78
AustraliaW65527,Invasive,1,11.80890027,14.17446514,0.83311082,-35.3,149.1333333,MP-W65527,58
GILNS4_1,Native,2,16.03404419,19.18732494,0.835658136,37.708491,-8.099286,Portugal2,63
AfghanistanPI250782,Native,4,24.56399725,29.39401611,0.8356802,31.61666667,65.71666667,MP-PI250782,40
Mt.Wilson_4,Invasive,2,25.37549756,30.26458559,0.838455147,34.2238,-118.0616,California1,13
IranPI227025,Native,4,35.46478106,42.2717993,0.838970227,32.63,48.26,MP-PI227025,44
AustraliaW65527,Invasive,5,12.87894721,15.21617978,0.846398202,-35.3,149.1333333,MP-W65527,51
Starlight,Invasive,1,17.70142529,20.89453865,0.847179523,33.3833,-118.4167,California3,76
GILNS10_6,Native,4,16.90194783,19.68570418,0.858589953,37.708491,-8.099286,Portugal2,1
Mt.Wilson_2,Invasive,1,17.16854512,19.93625329,0.8611721,34.2238,-118.0616,California1,82
CMS12_4,Native,5,15.05380329,17.12151146,0.879233316,38.7,-9.1833,Portugal1,37
UzbekistanW68297,Native,2,20.13184775,22.88188698,0.87981589,40.066667,68.416667,MP-W68297,50
HungaryW65565,Native,2,27.55009237,31.15737188,0.884223884,47.333333,19.883333,MP-W65565,5
ChilePI368950,Invasive,2,20.91266433,23.61273013,0.885652113,-31.61,-71.53,MP-PI368950,65
AustraliaW65527,Invasive,5,13.84873288,15.42527552,0.897794847,-35.3,149.1333333,MP-W65527,58
AustraliaW65527,Invasive,3,18.90675697,20.70279744,0.913246484,-35.3,149.1333333,MP-W65527,51
St.Augustine_14,Invasive,4,21.934828,23.81241572,0.921150893,31.61666667,65.71666667,Florida1,26
ChilePI368950,Invasive,4,20.5476878,22.01994384,0.933139882,-31.61,-71.53,MP-PI368950,65
AustraliaPI197336,Invasive,3,26.4781634,28.18837002,0.939329354,-34.53333333,138.7333333,PI197336,44
ChilePI368950,Invasive,3,22.66159268,23.98492037,0.94482668,-31.61,-71.53,MP-PI368950,65
AustraliaW65527,Invasive,1,13.62787556,14.08674926,0.967425153,-35.3,149.1333333,MP-W65527,51
GILNS11_4,Native,1,19.83671003,20.11189318,0.986317392,37.708491,-8.099286,Portugal2,9
UzbekistanW68297,Native,5,26.47361553,26.49720449,0.999109757,40.066667,68.416667,MP-W68297,53
GILNS10_6,Native,4,21.93216216,21.84263005,1.004098962,37.708491,-8.099286,Portugal2,39
GILNS10_6,Native,1,5.52118439,5.47739225,1.007995071,37.708491,-8.099286,Portugal2,36
UzbekistanW68297,Native,5,29.78265813,29.08110317,1.024124083,40.066667,68.416667,MP-W68297,50
AustraliaW65527,Invasive,4,18.20142529,17.68329961,1.029300283,-35.3,149.1333333,MP-W65527,51
PeruPI308523,Invasive,1,11.31851855,10.38863129,1.089510084,-11.25,-74.41,MP-PI308523,73
St.Augustine_3,Invasive,4,6.434828,5.74665538,1.119751851,31.61666667,65.71666667,Florida1,4
AustraliaW65527,Invasive,4,21.27680391,18.63834345,1.141560889,-35.3,149.1333333,MP-W65527,55
GILNS11_4,Native,3,11.62092312,9.88863129,1.175180142,37.708491,-8.099286,Portugal2,9
AlgeriaW65435,Native,2,20.39285209,16.18246266,1.260182243,35.7,2.6,MP-W65435,59
St.Augustine_14,Invasive,4,13.31130484,7.24503462,1.837300377,31.61666667,65.71666667,Florida1,30
AustraliaW65527,Invasive,3,11.22787556,5.0632261,2.217533908,-35.3,149.1333333,MP-W65527,58
UzbekistanW68297,Native,3,17.04094349,6.08188698,2.801917159,40.066667,68.416667,MP-W68297,50
GILNS4_1,Native,4,10.66211522,2.46510813,4.325211982,37.708491,-8.099286,Portugal2,58
HungaryW65565,Native,1,5.6283981,1.2241773,4.597698471,47.333333,19.883333,MP-W65565,83
