Genotype,Range,Plate,Amount_Consumed,Total_Consumed,Con_Ratio,Latitude,Longitude,Population,Pair
GILNS10_6,Native,4,10.22385023,16.27336692,0.628256604,37.708491,-8.099286,Portugal2,36
SpainW65325,Native,1,22.58245,35.87692285,0.629442221,36.533333,-6.3,MP-W65325,14
ChilePI368940,Invasive,4,16.22520972,25.70175236,0.631288073,-31.7,-71.56,MP-PI368940,71
GILNS10_6,Native,4,22.60999849,35.81194632,0.631353523,37.708491,-8.099286,Portugal2,84
TurkmenistanW62449,Native,5,16.1434012,25.56887219,0.63136931,37.444722,54.230556,MP-W624449,15
AlgeriaW65435,Native,2,20.39739996,32.21377521,0.633188747,35.7,2.6,MP-W65435,33
NM58_13,Invasive,1,19.85464024,31.33118288,0.633702223,34.2238,-118.0616,California2,12
GILNS4_1,Native,5,18.72228261,29.47315879,0.635231627,37.708491,-8.099286,Portugal2,18
NM58_35,Invasive,2,32.92176007,51.77451828,0.635868013,34.2238,-118.0616,California2,22
HungaryW65565,Native,2,28.25678354,44.43039907,0.635978612,47.333333,19.883333,MP-W65565,28
IranPI227025,Native,1,22.31961677,35.08387529,0.636178774,32.63,48.26,MP-PI227025,61
AlgeriaW65435,Native,3,26.77361553,42.0520402,0.636678159,35.7,2.6,MP-W65435,75
GILNS10_6,Native,1,26.50571189,41.60739845,0.637043239,37.708491,-8.099286,Portugal2,1
St.Augustine_14,Invasive,5,24.57283172,38.54885182,0.637446527,31.61666667,65.71666667,Florida1,25
AlgeriaW65435,Native,5,26.05971065,40.83651456,0.638147279,35.7,2.6,MP-W65435,66
GILNS10_6,Native,5,21.76049446,34.07258311,0.638651152,37.708491,-8.099286,Portugal2,39
AustraliaW65527,Invasive,3,21.6434012,33.88784748,0.638677367,-35.3,149.1333333,MP-W65527,57
Mt.Wilson_4,Invasive,2,19.58511584,30.65684934,0.638849597,34.2238,-118.0616,California1,17
TurkmenistanW62449,Native,4,12.1434012,19.00792099,0.638860042,37.444722,54.230556,MP-W624449,73
Mt.Wilson_2,Invasive,4,20.27549756,31.73520821,0.638895999,34.2238,-118.0616,California1,82
AfghanistanPI250782,Native,1,22.9172122,35.85873137,0.639097127,31.61666667,65.71666667,MP-PI250782,60
AlgeriaW65435,Native,1,18.63163962,29.12182587,0.639782674,35.7,2.6,MP-W65435,75
St.Augustine_14,Invasive,5,20.65354202,32.2675127,0.640072329,31.61666667,65.71666667,Florida1,30
NM58_12,Invasive,1,16.44099663,25.6825158,0.64016301,34.2238,-118.0616,California2,7
